"","Datum","Ferien"
"523",2018-12-28,"1"
"524",2018-12-29,"1"
"525",2018-12-30,"1"
"526",2018-12-31,"1"
"527",2019-01-01,"1"
"528",2019-01-02,"1"
"529",2019-01-03,"1"
"530",2019-01-04,"1"
"531",2019-04-04,"1"
"532",2019-04-05,"1"
"533",2019-04-06,"1"
"534",2019-04-07,"1"
"535",2019-04-08,"1"
"536",2019-04-09,"1"
"537",2019-04-10,"1"
"538",2019-04-11,"1"
"539",2019-04-12,"1"
"540",2019-04-13,"1"
"541",2019-04-14,"1"
"542",2019-04-15,"1"
"543",2019-04-16,"1"
"544",2019-04-17,"1"
"545",2019-04-18,"1"
"546",2019-05-31,"1"
"547",2019-07-01,"1"
"548",2019-07-02,"1"
"549",2019-07-03,"1"
"550",2019-07-04,"1"
"551",2019-07-05,"1"
"552",2019-07-06,"1"
"553",2019-07-07,"1"
"554",2019-07-08,"1"
"555",2019-07-09,"1"
"556",2019-07-10,"1"
"557",2019-07-11,"1"
"558",2019-07-12,"1"
"559",2019-07-13,"1"
"560",2019-07-14,"1"
"561",2019-07-15,"1"
"562",2019-07-16,"1"
"563",2019-07-17,"1"
"564",2019-07-18,"1"
"565",2019-07-19,"1"
"566",2019-07-20,"1"
"567",2019-07-21,"1"
"568",2019-07-22,"1"
"569",2019-07-23,"1"
"570",2019-07-24,"1"
"571",2019-07-25,"1"
"572",2019-07-26,"1"
"573",2019-07-27,"1"
"574",2019-07-28,"1"
"575",2019-07-29,"1"
"576",2019-07-30,"1"
"577",2019-07-31,"1"
"578",2019-08-01,"1"
"579",2019-08-02,"1"
"580",2019-08-03,"1"
"581",2019-08-04,"1"
"582",2019-08-05,"1"
"583",2019-08-06,"1"
"584",2019-08-07,"1"
"585",2019-08-08,"1"
"586",2019-08-09,"1"
"587",2019-08-10,"1"
"588",2019-10-04,"1"
"589",2019-10-05,"1"
"590",2019-10-06,"1"
"591",2019-10-07,"1"
"592",2019-10-08,"1"
"593",2019-10-09,"1"
"594",2019-10-10,"1"
"595",2019-10-11,"1"
"596",2019-10-12,"1"
"597",2019-10-13,"1"
"598",2019-10-14,"1"
"599",2019-10-15,"1"
"600",2019-10-16,"1"
"601",2019-10-17,"1"
"602",2019-10-18,"1"
"603",2019-12-23,"1"
"604",2019-12-24,"1"
"605",2019-12-25,"1"
"606",2019-12-26,"1"
"607",2019-12-27,"1"
"608",2019-12-28,"1"
"609",2019-12-29,"1"
"610",2019-12-30,"1"
"611",2019-12-31,"1"
